Tools,Port 2: parsiss long3New  s/n:37C41804,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,2,10088,1,OK,0.2088672,0.6512247,-0.0777807,0.7254178,-369.632,268.806,-2247.526,0.2274382
1,2,10151,1,OK,0.1597313,0.6543469,-0.2759792,0.6856760,-370.476,228.045,-2241.972,0.3442820
1,2,10211,1,OK,0.1999991,0.6541984,-0.1363516,0.7165425,-368.992,258.282,-2245.739,0.2567159
1,2,10271,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28
1,2,10331,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28
1,2,10394,1,OK,0.2112232,0.6520890,-0.1060235,0.7203636,-369.664,264.255,-2246.758,0.2118282
1,2,10454,1,OK,0.1866245,0.6411723,-0.3797620,0.6401954,-363.520,222.142,-2239.507,0.3371809
1,2,10514,1,OK,0.1983981,0.6414889,-0.3842978,0.6335971,-362.995,223.416,-2239.321,0.3472236
1,2,10577,1,OK,0.1980902,0.6412395,-0.3849359,0.6335586,-362.921,223.433,-2239.226,0.3399600
1,2,10637,1,OK,0.1981688,0.6406656,-0.3846034,0.6343161,-362.989,223.438,-2239.328,0.3385210
1,2,10697,1,OK,0.1981951,0.6411254,-0.3846766,0.6337987,-362.956,223.405,-2239.226,0.3438552
1,2,10757,1,OK,0.1975012,0.6400655,-0.3854091,0.6346410,-362.956,223.418,-2239.213,0.3303120
1,2,10820,1,OK,0.1983197,0.6413243,-0.3846253,0.6335896,-362.964,223.414,-2239.149,0.3462573
1,2,10880,1,OK,0.1980553,0.6410906,-0.3850707,0.6336383,-362.932,223.436,-2239.173,0.3399264
1,2,10940,1,OK,0.1986698,0.6402591,-0.3843622,0.6347159,-362.917,223.442,-2239.343,0.3322202
1,2,11003,1,OK,0.1980999,0.6412504,-0.3851482,0.6334156,-362.905,223.408,-2239.081,0.3390569
1,2,11063,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28
1,2,11123,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28
1,2,11183,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28
1,2,11246,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28
1,2,11306,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28
1,2,11366,1,OK,0.3070604,0.6116328,-0.0689087,0.7258587,-363.856,298.320,-2259.108,0.2181414
1,2,11426,1,OK,0.3252387,0.5899627,0.0083632,0.7389817,-369.830,313.216,-2273.270,0.2870250
1,2,11489,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28
1,2,11549,1,OK,0.2103211,0.6259176,-0.4348104,0.6123170,-357.516,224.190,-2235.738,0.3321816
1,2,11609,1,OK,0.3122826,0.6221517,-0.2886350,0.6573407,-339.856,273.566,-2236.185,0.2195790
1,2,11672,1,OK,0.3115059,0.6173801,-0.2838620,0.6642501,-275.248,333.461,-2231.370,0.1563946
1,2,11732,1,OK,0.3057647,0.6224433,-0.2930983,0.6581532,-347.520,273.628,-2241.193,0.2381783
1,2,11792,1,OK,0.2968042,0.6247159,-0.3304062,0.6422376,-360.033,245.629,-2242.596,0.3246056
